title,user_id,genre,tags
"Scream 3 (2000)","1","Comedy|Horror|Mystery|Thriller","slasher, spoof"
"Secret of NIMH, The (1982)","1","Adventure|Animation|Children|Drama","mice"
"Seven (a.k.a. Se7en) (1995)","1","Mystery|Thriller","mystery, twist ending, serial killer"
"Shaft (1971)","1","Action|Crime|Drama|Thriller",NULL
"SLC Punk! (1998)","1","Comedy|Drama",NULL
"South Park: Bigger, Longer and Uncut (1999)","1","Animation|Comedy|Musical","adult humor, controversial, crude humor, free speech, parody, satire, south park, Trey Parker"
"Spaceballs (1987)","1","Comedy|Sci-Fi",NULL
"Star Wars: Episode IV - A New Hope (1977)","1","Action|Adventure|Sci-Fi","classic, space action, action, sci-fi, EPIC, great soundtrack, classic sci-fi, engrossing adventure, EPIC, classic, Nerd, classic sci-fi, space action, space epic, oldie but goodie, sci-fi, Star Wars, ROBOTS AND ANDROIDS, space, classic sci-fi, sci-fi, space adventure, Star Wars, darth vader, luke skywalker, space opera"
"Star Wars: Episode V - The Empire Strikes Back (1980)","1","Action|Adventure|Sci-Fi","I am your father, space, space opera, classic, George Lucas, Harrison Ford, music, original plot, sci-fi, sequel"
"Star Wars: Episode VI - Return of the Jedi (1983)","1","Action|Adventure|Sci-Fi","darth vader, luke skywalker, space opera"
"Superman II (1980)","1","Action|Sci-Fi","superhero"
"Sword in the Stone, The (1963)","1","Animation|Children|Fantasy|Musical","Disney, King Arthur"
"Terminator, The (1984)","1","Action|Sci-Fi|Thriller","Action, artificial intelligence, robots, Sci-Fi, special effects, tense, time travel, robots"
"Texas Chainsaw Massacre, The (1974)","1","Horror",NULL
"Thin Red Line, The (1998)","1","Action|Drama|War",NULL
"Three Caballeros, The (1945)","1","Animation|Children|Musical",NULL
"Thunderball (1965)","1","Action|Adventure|Thriller",NULL
"Tombstone (1993)","1","Action|Drama|Western",NULL
"Tommy Boy (1995)","1","Comedy",NULL
"Usual Suspects, The (1995)","1","Crime|Mystery|Thriller","mindfuck, suspense, thriller, tricky, twist ending, heist"
"Very Bad Things (1998)","1","Comedy|Crime","dark comedy, dark humor"
"Wayne's World (1992)","1","Comedy",NULL
"Who Framed Roger Rabbit? (1988)","1","Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery","live action/animation"
"Willy Wonka & the Chocolate Factory (1971)","1","Children|Comedy|Fantasy|Musical",NULL
"Winnie the Pooh and the Blustery Day (1968)","1","Animation|Children|Musical",NULL
"Wizard of Oz, The (1939)","1","Adventure|Children|Fantasy|Musical","Dorothy, Toto"
"Wolf Man, The (1941)","1","Drama|Fantasy|Horror",NULL
"X-Men (2000)","1","Action|Adventure|Sci-Fi","action, comic book, hugh jackman, marvel, superhero, superhero"
"Young Frankenstein (1974)","1","Comedy|Fantasy","spoof"
"Inside Job (2010)","2","Documentary","business, corruption, economics, investor corruption, politics, truth"
"Mad Max: Fury Road (2015)","2","Action|Adventure|Sci-Fi|Thriller","beautiful, cinematography, visually appealing"
"Step Brothers (2008)","2","Comedy","funny, Highly quotable, will ferrell, comedy, funny, will ferrell, funny, will ferrell"
"The Jinx: The Life and Deaths of Robert Durst (2015)","2","Documentary",NULL
"Warrior (2011)","2","Drama","Boxing story, MMA, Tom Hardy"
"Wolf of Wall Street, The (2013)","2","Comedy|Crime|Drama","drugs, Leonardo DiCaprio, Martin Scorsese, Stock Market, Wall Street"
"Alien Contamination (1980)","3","Action|Horror|Sci-Fi",NULL
"Android (1982)","3","Sci-Fi",NULL
"Death Race 2000 (1975)","3","Action|Sci-Fi",NULL
"Escape from L.A. (1996)","3","Action|Adventure|Sci-Fi|Thriller",NULL
"Galaxy of Terror (Quest) (1981)","3","Action|Horror|Mystery|Sci-Fi",NULL
"Hangar 18 (1980)","3","Action|Sci-Fi|Thriller",NULL
"Road Warrior, The (Mad Max 2) (1981)","3","Action|Adventure|Sci-Fi|Thriller",NULL
"Saturn 3 (1980)","3","Adventure|Sci-Fi|Thriller",NULL
"The Lair of the White Worm (1988)","3","Comedy|Horror",NULL
"Troll 2 (1990)","3","Fantasy|Horror",NULL
"12 Angry Men (1957)","4","Drama","court, claustrophobic, confrontational, earnest, good dialogue, great screenplay, gritty, Motivational, thought-provoking"
"Afterglow (1997)","4","Drama|Romance",NULL
"Airplane! (1980)","4","Comedy","aviation, spoof"
"All About My Mother (Todo sobre mi madre) (1999)","4","Drama",NULL
"American Beauty (1999)","4","Drama|Romance",NULL
"Beautiful Thing (1996)","4","Drama|Romance",NULL
"Beetlejuice (1988)","4","Comedy|Fantasy",NULL
"Before Sunrise (1995)","4","Drama|Romance","generation X"
"Black Cat, White Cat (Crna macka, beli macor) (1998)","4","Comedy|Romance",NULL
"Blow (2001)","4","Crime|Drama",NULL
"Bonnie and Clyde (1967)","4","Crime|Drama","1920s, gangsters"
"Bridge on the River Kwai, The (1957)","4","Adventure|Drama|War","POW"
"Casablanca (1942)","4","Drama|Romance","start of a beautiful friendship"
"Cookie's Fortune (1999)","4","Comedy|Drama","southern US"
"Crumb (1994)","4","Documentary","In Netflix queue"
"Dead Again (1991)","4","Mystery|Romance|Thriller","memory, music"
"Dial M for Murder (1954)","4","Crime|Mystery|Thriller",NULL
"Eat Drink Man Woman (Yin shi nan nu) (1994)","4","Comedy|Drama|Romance","In Netflix queue"
"Election (1999)","4","Comedy",NULL
"Fantasia (1940)","4","Animation|Children|Fantasy|Musical","Disney"
"Fargo (1996)","4","Comedy|Crime|Drama|Thriller","based on a true story, dark comedy, KIDNAPPING, Steve Buscemi, Coen Brothers"
"Flirting With Disaster (1996)","4","Comedy",NULL
"Fugitive, The (1993)","4","Thriller","based on a TV show"
"Gods Must Be Crazy, The (1980)","4","Adventure|Comedy",NULL
"Gone with the Wind (1939)","4","Drama|Romance|War","Civil War"
"Hairspray (1988)","4","Comedy|Drama",NULL
"High Noon (1952)","4","Drama|Western","gunfight"
"I'm the One That I Want (2000)","4","Comedy",NULL
"In the Name of the Father (1993)","4","Drama","Ireland"
"Jungle Book, The (1967)","4","Animation|Children|Comedy|Musical","Disney"
"L.I.E. (2001)","4","Drama",NULL
"Labyrinth (1986)","4","Adventure|Fantasy|Musical",NULL
"Like Water for Chocolate (Como agua para chocolate) (1992)","4","Drama|Fantasy|Romance",NULL
"Little Voice (1998)","4","Comedy","In Netflix queue"
"Living in Oblivion (1995)","4","Comedy",NULL
"Manhattan Murder Mystery (1993)","4","Comedy|Mystery",NULL
"Monty Python and the Holy Grail (1975)","4","Adventure|Comedy|Fantasy","british comedy, Monty Python, England, King Arthur"
"Monty Python's Life of Brian (1979)","4","Comedy","Bible, parody, religion"
"Muriel's Wedding (1994)","4","Comedy","Australia, weddings"
"My Fair Lady (1964)","4","Comedy|Drama|Musical|Romance","George Bernard Shaw"
"No Man's Land (2001)","4","Drama|War",NULL
"North by Northwest (1959)","4","Action|Adventure|Mystery|Romance|Thriller","Mount Rushmore, Alfred Hitchcock, imdb top 250"
"Notorious (1946)","4","Film-Noir|Romance|Thriller","assassination"
"Outlaw Josey Wales, The (1976)","4","Action|Adventure|Drama|Thriller|Western",NULL
"Philadelphia Story, The (1940)","4","Comedy|Drama|Romance","divorce"
"Princess Bride, The (1987)","4","Action|Adventure|Comedy|Fantasy|Romance","Inigo Montoya, six-fingered man"
"Rebel Without a Cause (1955)","4","Drama","1950s, adolescence"
"Run Lola Run (Lola rennt) (1998)","4","Action|Crime","alternate endings"
"Saboteur (1942)","4","Mystery|Thriller",NULL
"Searchers, The (1956)","4","Drama|Western",NULL
"Shallow Grave (1994)","4","Comedy|Drama|Thriller",NULL
"Silence of the Lambs, The (1991)","4","Crime|Horror|Thriller","Hannibal Lector, disturbing, drama, gothic, psychology, suspense"
"Six Degrees of Separation (1993)","4","Drama","race"
"Sleeper (1973)","4","Comedy|Sci-Fi",NULL
"Some Like It Hot (1959)","4","Comedy|Crime","men in drag"
"Spanish Prisoner, The (1997)","4","Crime|Drama|Mystery|Thriller","twist ending"
"Star Wars: Episode IV - A New Hope (1977)","4","Action|Adventure|Sci-Fi","classic, space action, action, sci-fi, EPIC, great soundtrack, classic sci-fi, engrossing adventure, EPIC, classic, Nerd, classic sci-fi, space action, space epic, oldie but goodie, sci-fi, Star Wars, ROBOTS AND ANDROIDS, space, classic sci-fi, sci-fi, space adventure, Star Wars, darth vader, luke skywalker, space opera"
"Star Wars: Episode V - The Empire Strikes Back (1980)","4","Action|Adventure|Sci-Fi","I am your father, space, space opera, classic, George Lucas, Harrison Ford, music, original plot, sci-fi, sequel"
"Strangers on a Train (1951)","4","Crime|Drama|Film-Noir|Thriller","murder"
"Strictly Ballroom (1992)","4","Comedy|Romance","Australia, dance"
"Traffic (2000)","4","Crime|Drama|Thriller","drugs, based on a TV show"
"Waiting for Guffman (1996)","4","Comedy","mockumentary"
"West Side Story (1961)","4","Drama|Musical|Romance","Gangs"
"Wizard of Oz, The (1939)","4","Adventure|Children|Fantasy|Musical","Dorothy, Toto"
"Beauty and the Beast (1991)","5","Animation|Children|Fantasy|Musical|Romance|IMAX","Disney"
"Dances with Wolves (1990)","5","Adventure|Drama|Western","American Indians, Native Americans"
"Heavenly Creatures (1994)","5","Crime|Drama","Australia"
"In the Name of the Father (1993)","5","Drama","Ireland"
"Once Were Warriors (1994)","5","Crime|Drama","In Netflix queue"
"Pinocchio (1940)","5","Animation|Children|Fantasy|Musical","Disney"
"Postman, The (Postino, Il) (1994)","5","Comedy|Drama|Romance","writing"
"Pulp Fiction (1994)","5","Comedy|Crime|Drama|Thriller","good dialogue, great soundtrack, non-linear, cult film, drugs, Quentin Tarantino, Tarantino, hit men, 1990s, achronological, action, action packed, aggressive, amazing, amazing dialogues, anthology, assassin, atmospheric, AWESOME, bad ass, bad language, bad-ass, bible, biblical references, big boys with guns, big name actors, Black comedy, black humor, black humour, blood, blood splatters, bloody, bruce willis, brutality, casual violence, character development, characters, classic, classic movie, coke, comedy, conversation, cool, cool style, crime, crime scene scrubbing, cult, cult classic, cult film, dance, dancing, dark, dark comedy, dark humor, dialogue, different, diner, disjointed timeline, disturbing, drama, drug overdose, drugs, drugs & music, ensemble cast, entertaining, entirely dialogue, episodic, exciting, fast paced, fast-paced, film noir, film-noir, foul language, fun, funny, gangster, gangsters, genius, golden watch, good dialogue, good music, gore, great acting, great dialogue, great soundtrack, gritty, guns, Harvey Keitel, heroin, Highly quotable, hit men, hitman, homosexuality, humour, iconic, imdb top 250, innovative, intellectual, intelligent, intense, interesting, intertwining storylines, interwoven storylines, ironic, irony, John Travolta, killer-as-protagonist, los angeles, Mafia, masterpiece, meaningless violence, milkshake, mobster, mobsters, monologue, motherfucker, multiple stories, multiple storylines, neo-noir, noir, non-linear, non-linear timeline, nonlinear, nonlinear narrative, nonlinear storyline, nonlinear timeline, notable soundtrack, offensive, organised crime, organized crime, original, original plot, out of order, Palme d'Or, parody, philosophical, pop culture references, psychological, pulp, Quentin Tarantino, quirky, Quotable, r:disturbing violent content including rape, r:disturbing violent images, r:graphic sexuality, r:some violence, r:strong bloody violence, r:strong language, r:sustained strong stylized violence, r:violence, random, rape, retro, Roger Avary, royal with cheese, Samuel L. Jackson, sarcasm, satire, sexy, smart writing, sophisticated, soundtrack, splatter, Steve Buscemi, storytelling, stylish, stylized, suspense, Tarantino, thought-provoking, thriller, travolta, twist ending, Uma Thurman, unique, unpredictable, unusual, very funny, violence, violent, witty"
"Schindler's List (1993)","5","Drama|War","moving, thought-provoking, Holocaust, based on a true story, biography, disturbing, holocaust"
"Snow White and the Seven Dwarfs (1937)","5","Animation|Children|Drama|Fantasy|Musical","Disney"
"Aladdin (1992)","6","Adventure|Animation|Children|Comedy|Musical","Disney"
"Aristocats, The (1970)","6","Animation|Children","Disney"
"Beauty and the Beast (1991)","6","Animation|Children|Fantasy|Musical|Romance|IMAX","Disney"
"Braveheart (1995)","6","Action|Drama|War","beautiful scenery, epic, historical, inspirational, Medieval, mel gibson, Oscar (Best Cinematography), revenge, sword fight, Scotland"
"City Slickers II: The Legend of Curly's Gold (1994)","6","Adventure|Comedy|Western",NULL
"Clear and Present Danger (1994)","6","Action|Crime|Drama|Thriller","Tom Clancy"
"Client, The (1994)","6","Drama|Mystery|Thriller","John Grisham"
"Congo (1995)","6","Action|Adventure|Mystery|Sci-Fi","Michael Crichton"
"Copycat (1995)","6","Crime|Drama|Horror|Mystery|Thriller","serial killer"
"Dances with Wolves (1990)","6","Adventure|Drama|Western","American Indians, Native Americans"
"Dead Man Walking (1995)","6","Crime|Drama","death penalty, Nun"
"Dolores Claiborne (1995)","6","Drama|Thriller","Stephen King"
"Father of the Bride Part II (1995)","6","Comedy","pregnancy, remake"
"First Knight (1995)","6","Action|Drama|Romance",NULL
"First Wives Club, The (1996)","6","Comedy","adultery"
"Forrest Gump (1994)","6","Comedy|Drama|Romance|War","shrimp, Vietnam, bubba gump shrimp, lieutenant dan, stupid is as stupid does, bittersweet, emotional, heartwarming, touching"
"Fugitive, The (1993)","6","Thriller","based on a TV show"
"Ghost (1990)","6","Comedy|Drama|Fantasy|Romance|Thriller","overrated"
"Ghost and the Darkness, The (1996)","6","Action|Adventure",NULL
"Grumpier Old Men (1995)","6","Comedy|Romance","moldy, old"
"Houseguest (1994)","6","Comedy","bad, Sinbad"
"Hunchback of Notre Dame, The (1996)","6","Animation|Children|Drama|Musical|Romance",NULL
"Independence Day (a.k.a. ID4) (1996)","6","Action|Adventure|Sci-Fi|Thriller","aliens"
"Jurassic Park (1993)","6","Action|Adventure|Sci-Fi|Thriller","Dinosaur"
"Just Cause (1995)","6","Mystery|Thriller","court"
"Lion King, The (1994)","6","Adventure|Animation|Children|Drama|Musical|IMAX","Disney, Disney animated feature, Oscar (Best Music - Original Score), soundtrack, Disney"
"Little Princess, A (1995)","6","Children|Drama","England, Girl Power, India"
"Maverick (1994)","6","Adventure|Comedy|Western",NULL
"Miracle on 34th Street (1994)","6","Drama","Christmas"
"Mrs. Doubtfire (1993)","6","Comedy|Drama","cross dressing, divorce, men in drag"
"Oliver & Company (1988)","6","Adventure|Animation|Children|Comedy|Musical",NULL
"Secret of Roan Inish, The (1994)","6","Children|Drama|Fantasy|Mystery",NULL
"Shawshank Redemption, The (1994)","6","Crime|Drama","prison, Stephen King, wrongful imprisonment, Morgan Freeman"
"Speed (1994)","6","Action|Romance|Thriller","bus"
"Stargate (1994)","6","Action|Adventure|Sci-Fi","time travel"
"Tombstone (1993)","6","Action|Drama|Western",NULL
"Tommy Boy (1995)","6","Comedy",NULL
"Twister (1996)","6","Action|Adventure|Romance|Thriller","Disaster"
"What's Eating Gilbert Grape (1993)","6","Drama","mental illness"
"White Squall (1996)","6","Action|Adventure|Drama",NULL
"Back to the Future (1985)","7","Adventure|Comedy|Sci-Fi","time travel"
"Contact (1997)","7","Drama|Sci-Fi",NULL
"Forrest Gump (1994)","7","Comedy|Drama|Romance|War","shrimp, Vietnam, bubba gump shrimp, lieutenant dan, stupid is as stupid does, bittersweet, emotional, heartwarming, touching"
"Hot Shots! Part Deux (1993)","7","Action|Comedy|War",NULL
"Jurassic Park (1993)","7","Action|Adventure|Sci-Fi|Thriller","Dinosaur"
"Naked Gun 2 1/2: The Smell of Fear, The (1991)","7","Comedy",NULL
"Planet of the Apes (1968)","7","Action|Drama|Sci-Fi","twist ending"
"Psycho (1960)","7","Crime|Horror","Alfred Hitchcock, psychology, suspenseful, tense, Norman Bates, Alfred Hitchcock, black and white, imdb top 250, remade"
"Seven Samurai (Shichinin no samurai) (1954)","7","Action|Adventure|Drama","samurai"
"Silence of the Lambs, The (1991)","7","Crime|Horror|Thriller","Hannibal Lector, disturbing, drama, gothic, psychology, suspense"
"Spirited Away (Sen to Chihiro no kamikakushi) (2001)","7","Adventure|Animation|Fantasy","anime"
"Star Wars: Episode IV - A New Hope (1977)","7","Action|Adventure|Sci-Fi","classic, space action, action, sci-fi, EPIC, great soundtrack, classic sci-fi, engrossing adventure, EPIC, classic, Nerd, classic sci-fi, space action, space epic, oldie but goodie, sci-fi, Star Wars, ROBOTS AND ANDROIDS, space, classic sci-fi, sci-fi, space adventure, Star Wars, darth vader, luke skywalker, space opera"
"Terminator, The (1984)","7","Action|Sci-Fi|Thriller","Action, artificial intelligence, robots, Sci-Fi, special effects, tense, time travel, robots"
"Babe (1995)","8","Children|Drama","Animal movie, pigs, villain nonexistent or not needed for good story"
"Dances with Wolves (1990)","8","Adventure|Drama|Western","American Indians, Native Americans"
"Four Weddings and a Funeral (1994)","8","Comedy|Romance","wedding"
"Interview with the Vampire: The Vampire Chronicles (1994)","8","Drama|Horror",NULL
"Lion King, The (1994)","8","Adventure|Animation|Children|Drama|Musical|IMAX","Disney, Disney animated feature, Oscar (Best Music - Original Score), soundtrack, Disney"
"Net, The (1995)","8","Action|Crime|Thriller","computers"
"Schindler's List (1993)","8","Drama|War","moving, thought-provoking, Holocaust, based on a true story, biography, disturbing, holocaust"
"Shawshank Redemption, The (1994)","8","Crime|Drama","prison, Stephen King, wrongful imprisonment, Morgan Freeman"
"True Lies (1994)","8","Action|Adventure|Comedy|Romance|Thriller","spies"
"Usual Suspects, The (1995)","8","Crime|Mystery|Thriller","mindfuck, suspense, thriller, tricky, twist ending, heist"
"Adaptation (2002)","9","Comedy|Drama|Romance",NULL
"Austin Powers in Goldmember (2002)","9","Comedy",NULL
"Back to the Future (1985)","9","Adventure|Comedy|Sci-Fi","time travel"
"Citizen Kane (1941)","9","Drama|Mystery","Rosebud"
"Lord of the Rings: The Fellowship of the Ring, The (2001)","9","Adventure|Fantasy","fantasy, high fantasy, Magic, mythology, tolkien, wizards, Tolkein"
"Lord of the Rings: The Two Towers, The (2002)","9","Adventure|Fantasy","Myth, Tolkein"
"Producers, The (1968)","9","Comedy","Broadway"
"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)","9","Action|Adventure","adventure, archaeology, indiana jones, Steven Spielberg, treasure hunt, archaeology, ark of the covenant, indiana jones"
"Batman Begins (2005)","10","Action|Crime|IMAX",NULL
"Casino Royale (2006)","10","Action|Adventure|Thriller",NULL
"Dark Knight Rises, The (2012)","10","Action|Adventure|Crime|IMAX","Anne Hathaway, Christian Bale, Christopher Nolan, comic book, great ending, Morgan Freeman, political commentary, superhero"
"Despicable Me (2010)","10","Animation|Children|Comedy|Crime",NULL
"Education, An (2009)","10","Drama|Romance",NULL
"First Daughter (2004)","10","Comedy|Romance",NULL
"Holiday, The (2006)","10","Comedy|Romance",NULL
"Intouchables (2011)","10","Comedy|Drama","emotional, sexuality"
"King's Speech, The (2010)","10","Drama",NULL
"Notebook, The (2004)","10","Drama|Romance","memory loss, romance, sad"
"Skyfall (2012)","10","Action|Adventure|Thriller|IMAX","beautiful cinematography, beautifully filmed, cinematography"
"Spectre (2015)","10","Action|Adventure|Crime",NULL
"The Intern (2015)","10","Comedy",NULL
"Troy (2004)","10","Action|Adventure|Drama|War",NULL
"Amistad (1997)","11","Drama|Mystery",NULL
"Apollo 13 (1995)","11","Adventure|Drama|IMAX","moon, NASA, space"
"As Good as It Gets (1997)","11","Comedy|Drama|Romance",NULL
"Braveheart (1995)","11","Action|Drama|War","beautiful scenery, epic, historical, inspirational, Medieval, mel gibson, Oscar (Best Cinematography), revenge, sword fight, Scotland"
"Clear and Present Danger (1994)","11","Action|Crime|Drama|Thriller","Tom Clancy"
"Contact (1997)","11","Drama|Sci-Fi",NULL
"Forrest Gump (1994)","11","Comedy|Drama|Romance|War","shrimp, Vietnam, bubba gump shrimp, lieutenant dan, stupid is as stupid does, bittersweet, emotional, heartwarming, touching"
